url_length,url_entropy,url_digit_ratio,url_special_ratio,has_https,has_ip,domain_length,domain_entropy,num_subdomains,domain_digit_ratio,num_hyphens,num_underscores,suspicious_tld,domain_has_vowels,path_length,num_path_segments,path_entropy,has_exe,query_length,num_query_params,query_entropy,ttl_normalized,name_server_count,domain_age_days,has_page_rank,has_alexa_rank,has_organization,has_registrant,is_shortened,has_punycode,obfuscated,label,source
19,3.4971558025756684,0.0,0.2631578947368421,0.0,0.0,11,3.027169118440619,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
26,4.026986833359286,0.0,0.23076923076923078,0.0,0.0,18,3.7254805569978675,0,0.0,1,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
49,4.264935038249542,0.42857142857142855,0.20408163265306123,0.0,1.0,13,2.6612262562697895,0,0.7692307692307693,0,0,0.0,0.0,29,3,4.133168925863646,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
22,3.7544418457133446,0.0,0.22727272727272727,0.0,0.0,14,3.378783493486176,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
23,3.588354347173234,0.0,0.2608695652173913,0.0,0.0,15,3.106890595608519,0,0.0,1,0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
25,3.7492750707107123,0.0,0.2,0.0,0.0,17,3.4548223999466066,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
21,3.6178096843744547,0.0,0.2857142857142857,0.0,0.0,13,3.180832987205441,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
15,3.4565647621309536,0.0,0.3333333333333333,0.0,0.0,7,2.807354922057604,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
18,3.419381945646371,0.0,0.3333333333333333,0.0,0.0,10,2.9219280948873623,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
23,3.7622673906514947,0.0,0.21739130434782608,0.0,0.0,15,3.5068905956085183,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
40,4.527567157116929,0.15,0.225,1.0,0.0,11,3.277613436819116,1,0.2727272727272727,0,0,0.0,1.0,10,1,2.9219280948873623,0.0,10,1,3.1219280948873624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
65,4.372238875087202,0.03076923076923077,0.1076923076923077,0.0,0.0,16,3.75,0,0.0,0,0,0.0,1.0,42,2,3.7831791150293816,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
27,3.736006946447657,0.5185185185185185,0.2962962962962963,0.0,1.0,18,3.1279868068776753,0,0.7777777777777778,0,0,0.0,0.0,2,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
37,4.121219243831913,0.43243243243243246,0.24324324324324326,0.0,1.0,20,2.9086949695628417,0,0.8,0,0,0.0,0.0,10,1,3.321928094887362,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
17,3.572469458770136,0.0,0.29411764705882354,0.0,0.0,9,2.94770277922009,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
47,4.169069373406067,0.1276595744680851,0.2127659574468085,1.0,0.0,15,3.4565647621309536,0,0.2,0,0,0.0,1.0,24,2,3.772055208874201,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
